iter	Passed	Remaining
587	3772	2643
588	3779	2637
589	3785	2630
590	3791	2624
591	3797	2617
592	3803	2610
593	3809	2603
594	3815	2596
595	3820	2589
596	3826	2583
597	3832	2576
598	3838	2569
599	3844	2563
600	3850	2556
601	3856	2549
602	3862	2542
603	3868	2536
604	3874	2529
605	3880	2523
606	3886	2516
607	3893	2510
608	3899	2503
609	3904	2496
610	3910	2489
611	3916	2483
612	3922	2476
613	3928	2469
614	3934	2462
615	3939	2456
616	3946	2449
617	3952	2442
618	3957	2436
619	3964	2429
620	3970	2422
621	3975	2416
622	3983	2410
623	3989	2403
624	3994	2396
625	4000	2390
626	4006	2383
627	4011	2376
628	4017	2369
629	4023	2362
630	4030	2356
631	4035	2350
632	4042	2343
633	4047	2336
634	4053	2330
635	4059	2323
636	4065	2316
637	4070	2309
638	4076	2303
639	4082	2296
640	4088	2289
641	4095	2283
642	4100	2276
643	4106	2270
644	4112	2263
645	4118	2256
646	4124	2250
647	4130	2243
648	4136	2237
649	4142	2230
650	4148	2224
651	4154	2217
652	4160	2210
653	4166	2204
654	4187	2205
655	4196	2200
656	4204	2194
657	4231	2199
658	4255	2201
659	4276	2203
660	4293	2202
661	4311	2201
662	4325	2198
663	4344	2198
664	4382	2207
665	4404	2208
666	4420	2206
667	4437	2205
668	4454	2203
669	4472	2202
670	4594	2252
671	4702	2295
672	4748	2306
673	4777	2310
674	4805	2313
675	4825	2312
676	4860	2319
677	4901	2327
678	4932	2331
679	4963	2335
680	4993	2338
681	5031	2346
682	5076	2356
683	5107	2359
684	5135	2361
685	5193	2377
686	5229	2382
687	5256	2383
688	5283	2385
689	5312	2386
690	5336	2386
691	5348	2380
692	5374	2380
693	5390	2376
694	5431	2383
695	5463	2386
696	5495	2388
697	5517	2387
698	5549	2389
699	5587	2394
700	5616	2395
701	5644	2395
702	5674	2397
703	5703	2398
704	5732	2398
705	5777	2405
706	5809	2407
707	5855	2415
708	5884	2415
709	5958	2433
710	5997	2437
711	6005	2429
712	6014	2420
713	6023	2412
714	6032	2404
715	6041	2396
716	6049	2387
717	6057	2379
718	6065	2370
719	6073	2361
720	6082	2353
721	6091	2345
722	6100	2337
723	6108	2328
724	6115	2319
725	6123	2310
726	6134	2303
727	6140	2294
728	6147	2285
729	6153	2275
730	6159	2266
731	6165	2257
732	6171	2248
733	6178	2239
734	6184	2229
735	6190	2220
736	6197	2211
737	6202	2202
738	6210	2193
739	6215	2183
740	6221	2174
741	6229	2165
742	6236	2157
743	6247	2149
744	6253	2140
745	6260	2131
746	6265	2122
747	6271	2112
748	6278	2103
749	6284	2094
750	6293	2086
751	6300	2077
752	6307	2068
753	6312	2059
754	6318	2050
755	6325	2041
756	6330	2032
757	6336	2023
758	6343	2014
759	6351	2005
760	6358	1997
761	6364	1987
762	6370	1978
763	6376	1969
764	6382	1960
765	6389	1951
766	6394	1942
767	6400	1933
768	6407	1924
769	6413	1915
770	6418	1906
771	6425	1897
772	6431	1888
773	6438	1879
774	6444	1870
775	6454	1863
776	6459	1854
777	6466	1845
778	6472	1836
779	6478	1827
780	6484	1818
781	6490	1809
782	6496	1800
783	6502	1791
784	6508	1782
785	6514	1773
786	6520	1764
787	6526	1755
788	6532	1746
789	6538	1738
790	6544	1729
791	6554	1721
792	6560	1712
793	6566	1703
794	6572	1694
795	6578	1685
796	6584	1677
797	6590	1668
798	6596	1659
799	6603	1650
800	6609	1641
801	6616	1633
802	6622	1624
803	6628	1615
804	6635	1607
805	6640	1598
806	6649	1590
807	6655	1581
808	6662	1572
809	6668	1564
810	6674	1555
811	6680	1546
812	6686	1538
813	6692	1529
814	6699	1520
815	6705	1511
816	6711	1503
817	6717	1494
818	6723	1485
819	6730	1477
820	6735	1468
821	6741	1459
822	6749	1451
823	6756	1443
824	6763	1434
825	6769	1425
826	6776	1417
827	6782	1408
828	6787	1400
829	6794	1391
830	6800	1383
831	6806	1374
832	6813	1365
833	6818	1357
834	6825	1348
835	6831	1340
836	6837	1331
837	6844	1323
838	6852	1314
839	6859	1306
840	6865	1297
841	6871	1289
842	6877	1280
843	6883	1272
844	6890	1263
845	6896	1255
846	6901	1246
847	6909	1238
848	6914	1229
849	6921	1221
850	6926	1212
851	6932	1204
852	6939	1195
853	6945	1187
854	6953	1179
855	6960	1170
856	6966	1162
857	6973	1154
858	6979	1145
859	6985	1137
860	6991	1128
861	6996	1120
862	7003	1111
863	7009	1103
864	7015	1094
865	7022	1086
866	7027	1078
867	7034	1069
868	7040	1061
869	7046	1052
870	7055	1044
871	7061	1036
872	7068	1028
873	7073	1019
874	7079	1011
875	7086	1003
876	7092	994
877	7098	986
878	7104	977
879	7110	969
880	7117	961
881	7123	953
882	7129	944
883	7135	936
884	7141	928
885	7148	919
886	7157	911
887	7162	903
888	7169	895
889	7174	886
890	7181	878
891	7187	870
892	7193	861
893	7200	853
894	7206	845
895	7213	837
896	7218	828
897	7224	820
898	7231	812
899	7237	804
900	7243	795
901	7250	787
902	7259	779
903	7266	771
904	7271	763
905	7278	755
906	7284	746
907	7290	738
908	7297	730
909	7303	722
910	7308	714
911	7315	705
912	7321	697
913	7328	689
914	7334	681
915	7339	673
916	7346	664
917	7352	656
918	7361	648
919	7367	640
920	7373	632
921	7379	624
922	7385	616
923	7392	608
924	7398	599
925	7404	591
926	7410	583
927	7416	575
928	7422	567
929	7428	559
930	7434	551
931	7441	542
932	7447	534
933	7453	526
934	7463	518
935	7468	510
936	7476	502
937	7482	494
938	7487	486
939	7494	478
940	7499	470
941	7506	462
942	7512	454
943	7518	445
944	7524	437
945	7530	429
946	7536	421
947	7543	413
948	7548	405
949	7554	397
950	7562	389
951	7569	381
952	7576	373
953	7581	365
954	7587	357
955	7593	349
956	7598	341
957	7605	333
958	7610	325
959	7615	317
960	7622	309
961	7628	301
962	7633	293
963	7639	285
964	7645	277
965	7650	269
966	7656	261
967	7664	253
968	7671	245
969	7677	237
970	7683	229
971	7688	221
972	7694	213
973	7700	205
974	7705	197
975	7710	189
976	7717	181
977	7722	173
978	7728	165
979	7735	157
980	7740	149
981	7746	141
982	7752	134
983	7758	126
984	7767	118
985	7773	110
986	7779	102
987	7785	94
988	7791	86
989	7797	78
990	7802	70
991	7808	62
992	7815	55
993	7820	47
994	7826	39
995	7832	31
996	7837	23
997	7843	15
998	7849	7
999	7854	0
