iter	Passed	Remaining
168	352	690
169	354	687
170	355	684
171	357	681
172	358	677
173	360	674
174	361	672
175	363	669
176	365	666
177	366	663
178	369	662
179	373	663
180	376	662
181	378	661
182	381	661
183	384	660
184	387	659
185	390	658
186	392	657
187	395	656
188	399	656
189	401	655
190	403	652
191	404	649
192	406	646
193	407	643
194	409	640
195	411	637
196	412	634
197	416	635
198	418	632
199	419	629
200	421	626
201	423	624
202	424	621
203	426	618
204	427	615
205	429	612
206	430	610
207	432	607
208	434	604
209	435	601
210	437	598
211	438	596
212	440	593
213	441	590
214	443	588
215	445	585
216	446	582
217	448	580
218	450	577
219	451	575
220	453	573
221	456	571
222	458	569
223	461	568
224	464	567
225	466	566
226	469	564
227	477	570
228	480	568
229	481	565
230	483	562
231	484	560
232	486	557
233	488	554
234	489	552
235	491	550
236	494	548
237	495	545
238	497	542
239	498	540
240	500	537
241	502	535
242	503	532
243	505	530
244	507	527
245	508	525
246	510	522
247	511	520
248	513	517
249	514	514
250	516	512
251	518	510
252	519	507
253	521	505
254	523	502
255	524	500
256	526	497
257	527	495
258	529	492
259	531	490
260	533	488
261	536	487
262	538	484
263	539	482
264	541	480
265	542	477
266	545	475
267	551	476
268	563	484
269	602	513
270	607	513
271	613	514
272	618	514
273	621	512
274	624	510
275	626	508
276	627	505
277	629	502
278	631	499
279	632	497
280	634	494
281	635	491
282	637	488
283	640	487
284	642	484
285	644	482
286	646	479
287	647	476
288	649	474
289	651	471
290	653	469
291	657	468
292	659	465
293	660	462
294	662	460
295	664	457
296	666	455
297	670	454
298	672	451
299	674	449
300	675	446
301	677	444
302	679	441
303	680	438
304	682	436
305	684	433
306	685	431
307	687	428
308	688	425
309	690	423
310	692	420
311	693	418
312	695	415
313	697	412
314	698	410
315	700	407
316	701	405
317	703	402
318	705	400
319	707	398
320	711	396
321	713	394
322	716	392
323	719	390
324	722	389
325	724	386
326	726	384
327	731	383
328	736	383
329	743	382
330	747	381
331	753	381
332	755	379
333	758	376
334	761	375
335	766	373
336	771	373
337	774	371
338	776	368
339	780	367
340	785	366
341	790	365
342	793	363
343	795	360
344	796	358
345	798	355
346	799	352
347	801	350
348	803	347
349	804	344
350	806	342
351	808	340
352	810	337
353	812	335
354	814	332
355	815	329
356	817	327
357	818	324
358	820	322
359	822	319
360	824	317
361	825	314
362	827	312
363	828	309
364	830	307
365	831	304
366	833	302
367	835	299
368	836	297
369	838	294
370	840	292
371	841	289
372	843	287
373	845	284
374	846	282
375	848	279
376	850	277
377	851	274
378	854	272
379	856	270
380	857	267
381	859	265
382	861	263
383	862	260
384	864	258
385	866	255
386	867	253
387	869	250
388	871	248
389	872	246
390	874	243
391	876	241
392	877	238
393	879	236
394	880	234
395	883	231
396	884	229
397	886	227
398	887	224
399	890	222
400	892	220
401	893	217
402	895	215
403	897	213
404	899	210
405	900	208
406	902	206
407	904	203
408	905	201
409	907	199
410	909	196
411	911	194
412	915	192
413	918	190
414	921	188
415	923	186
416	927	184
417	930	182
418	935	180
419	938	178
420	943	176
421	945	174
422	954	173
423	959	171
424	960	169
425	962	167
426	964	164
427	971	163
428	974	161
429	980	159
430	983	157
431	986	155
432	988	152
433	990	150
434	991	148
435	995	146
436	999	144
437	1002	141
438	1005	139
439	1007	137
440	1013	135
441	1016	133
442	1018	131
443	1020	128
444	1021	126
445	1027	124
446	1030	122
447	1032	119
448	1034	117
449	1036	115
450	1042	113
451	1045	110
452	1047	108
453	1049	106
454	1050	103
455	1055	101
456	1057	99
457	1058	97
458	1061	94
459	1063	92
460	1065	90
461	1069	88
462	1071	85
463	1073	83
464	1075	80
465	1077	78
466	1079	76
467	1080	73
468	1083	71
469	1086	69
470	1089	67
471	1094	64
472	1097	62
473	1106	60
474	1110	58
475	1113	56
476	1155	55
477	1168	53
478	1171	51
479	1176	49
480	1182	46
481	1186	44
482	1191	41
483	1198	39
484	1201	37
485	1206	34
486	1213	32
487	1216	29
488	1220	27
489	1227	25
490	1228	22
491	1230	20
492	1233	17
493	1235	15
494	1237	12
495	1240	10
496	1242	7
497	1244	4
498	1246	2
499	1247	0
